ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
US Short Duration High Yield Active Core UCITS ETF (USD) Acc.,Janus Henderson,IE0007W7MZL0,USD,49,10.01,USD,10/02/2026
US Transformational Growth High Conviction Equity UCITS ETF (USD) Acc.,Janus Henderson,IE0009ZTL4B5,USD,49,5.54,USD,13/01/2026
Japan High Conviction Equity UCITS ETF (JPY) Acc.,Janus Henderson,IE000CV0WWL4,JPY,49,1436.56,JPY,22/01/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF (USD),Janus Henderson,IE000GETKIK8,GBP,65,80.78,USD,12/03/2026
Mexico Government Bond USD 10-30Y Core UCITS ETF,Janus Henderson,IE000J8RGOJ4,USD,20,112.70,USD,06/07/2026
Global High Yield Fallen Angels Paris-aligned Climate Core UCITS ETF,Janus Henderson,IE000JL9SV51,USD,50,59.92,USD,12/02/2026
GCC Sovereign USD Bond Core UCITS ETF,Janus Henderson,IE000L1I4R94,USD,45,18.52,USD,11/03/2026
GCC Sovereign USD Bond Core UCITS ETF (USD),Janus Henderson,IE000LJG9WK1,GBP,50,18.52,USD,11/03/2026
Global High Yield Fallen Angels Paris-aligned Climate Core UCITS ETF (USD),Janus Henderson,IE000LSFKN16,GBP,55,58.85,USD,22/01/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF,Janus Henderson,IE000LZC9NM0,USD,60,81.66,USD,13/02/2026
EUR Ultrashort IG Bond Paris-aligned Climate Core UCITS ETF (EUR),Janus Henderson,IE000P7C7930,GBP,18,16.49,EUR,11/03/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE000RH1ZG27,USD,35,39.96,USD,06/07/2026
Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF (USD),Janus Henderson,IE000XIITCN5,GBP,65,79.28,USD,22/01/2026
Global Research-Engineered Equity Active Core UCITS ETF (USD) Acc.,Janus Henderson,IE000Y3FZEN4,USD,30,0.00,USD,06/07/2026
USD Mortgage-Backed Securities Active Core UCITS ETF,Janus Henderson,IE000YMBL844,USD,35,39.96,USD,06/07/2026
US Enhanced Inflation Core UCITS ETF,Janus Henderson,IE00BMDWWS85,USD,29,25.37,USD,13/01/2026
US Enhanced Inflation Core UCITS ETF (USD),Janus Henderson,IE00BN0T9H70,GBP,34,21.87,USD,12/03/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599081,EUR,25,408.15,EUR,06/07/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599248,USD,25,408.15,EUR,06/07/2026
EUR AAA CLO Active Core UCITS ETF,Janus Henderson,LU2941599834,GBP,25,408.15,EUR,06/07/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994520851,USD,25,251.54,USD,06/07/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994520935,USD,25,251.54,USD,06/07/2026
USD AAA CLO Active Core UCITS ETF,Janus Henderson,LU2994521669,GBP,25,251.54,USD,06/07/2026
